location_id,fertilizer,total_kg,available_bags
L003,Fertilizer,Total Kg,Available Bags
L003,Urea,728,16
L003,MAP,145,6
L003,DAP,192,4
L003,MOP,361,7.2
L002,Fertilizer,Total Kg,Available Bags
L002,Urea,250.91,6
L002,MAP,0,0
L002,DAP,120.16,3
L002,MOP,141.76,3
